Age,Gender,Height_cm,Weight_kg,BMI,Nutrition_Status
7,Male,109,12.4,10.44,Underweight
12,Female,133,15.3,8.65,Underweight
5,Female,103,10.8,10.18,Underweight
4,Male,145,15.0,7.13,Underweight
5,Male,143,13.0,6.36,Underweight
8,Female,147,12.0,5.55,Underweight
3,Male,136,11.8,6.38,Underweight
7,Male,107,12.8,11.18,Underweight
3,Male,124,11.4,7.41,Underweight
6,Female,98,10.6,11.04,Underweight
9,Male,105,10.1,9.16,Underweight
10,Male,148,15.7,7.17,Underweight
4,Male,113,12.7,9.95,Underweight
10,Male,147,16.5,7.64,Underweight
9,Female,136,11.5,6.22,Underweight
5,Female,125,13.4,8.58,Underweight
4,Male,143,17.1,8.36,Underweight
8,Female,139,15.9,8.23,Underweight
9,Female,125,10.9,6.98,Underweight
5,Female,121,12.4,8.47,Underweight
11,Female,105,12.0,10.88,Underweight
9,Female,95,10.9,12.08,Underweight
7,Female,136,13.5,7.3,Underweight
3,Female,117,13.7,10.01,Underweight
8,Male,107,11.5,10.04,Underweight
3,Female,141,13.5,6.79,Underweight
12,Female,114,13.5,10.39,Underweight
10,Male,114,10.3,7.93,Underweight
12,Female,110,10.1,8.35,Underweight
8,Female,101,11.7,11.47,Underweight
7,Male,108,10.6,9.09,Underweight
6,Male,124,12.4,8.06,Underweight
5,Male,105,10.1,9.16,Underweight
6,Male,141,12.6,6.34,Underweight
12,Female,120,12.1,8.4,Underweight
5,Male,114,11.3,8.69,Underweight
7,Male,146,11.7,5.49,Underweight
6,Male,133,12.6,7.12,Underweight
5,Male,126,12.4,7.81,Underweight
9,Female,109,11.7,9.85,Underweight
3,Male,113,11.2,8.77,Underweight
4,Male,141,15.3,7.7,Underweight
7,Male,102,11.0,10.57,Underweight
9,Female,137,13.9,7.41,Underweight
6,Female,109,11.6,9.76,Underweight
3,Female,107,11.4,9.96,Underweight
3,Male,100,10.3,10.3,Underweight
9,Female,103,11.9,11.22,Underweight
12,Male,149,12.3,5.54,Underweight
11,Male,105,10.3,9.34,Underweight
9,Female,142,11.0,5.46,Underweight
3,Male,137,15.2,8.1,Underweight
10,Male,113,11.0,8.61,Underweight
6,Male,133,11.7,6.61,Underweight
8,Male,146,14.6,6.85,Underweight
10,Male,110,12.8,10.58,Underweight
3,Female,97,10.9,11.58,Underweight
12,Female,137,13.2,7.03,Underweight
12,Male,142,10.3,5.11,Underweight
7,Male,143,13.7,6.7,Underweight
9,Female,110,10.5,8.68,Underweight
8,Male,124,13.8,8.98,Underweight
12,Male,98,11.7,12.18,Underweight
11,Male,113,12.6,9.87,Underweight
10,Female,148,16.6,7.58,Underweight
4,Male,133,12.7,7.18,Underweight
11,Male,142,11.5,5.7,Underweight
8,Female,136,15.6,8.43,Underweight
4,Male,139,16.0,8.28,Underweight
11,Male,125,14.2,9.09,Underweight
10,Female,138,11.1,5.83,Underweight
9,Female,97,10.6,11.27,Underweight
9,Female,143,16.1,7.87,Underweight
7,Female,96,11.2,12.15,Underweight
7,Male,114,11.1,8.54,Underweight
6,Female,118,12.8,9.19,Underweight
6,Female,124,11.8,7.67,Underweight
7,Female,145,11.1,5.28,Underweight
11,Female,122,11.0,7.39,Underweight
5,Female,102,10.9,10.48,Underweight
11,Male,99,10.1,10.31,Underweight
6,Male,141,12.0,6.04,Underweight
10,Female,148,13.5,6.16,Underweight
3,Female,139,13.6,7.04,Underweight
3,Male,99,11.0,11.22,Underweight
8,Male,138,12.9,6.77,Underweight
11,Female,105,12.2,11.07,Underweight
9,Female,115,13.2,9.98,Underweight
6,Male,113,11.6,9.08,Underweight
5,Male,148,14.9,6.8,Underweight
11,Female,123,14.6,9.65,Underweight
8,Male,120,11.5,7.99,Underweight
5,Female,98,10.2,10.62,Underweight
6,Female,147,12.8,5.92,Underweight
7,Female,97,10.1,10.73,Underweight
4,Male,116,12.2,9.07,Underweight
7,Male,105,12.3,11.16,Underweight
8,Female,148,15.8,7.21,Underweight
10,Male,144,11.5,5.55,Underweight
11,Male,100,11.3,11.3,Underweight
4,Female,113,12.3,9.63,Underweight
11,Female,146,12.2,5.72,Underweight
9,Female,103,12.0,11.31,Underweight
9,Male,131,14.5,8.45,Underweight
12,Female,150,17.4,7.73,Underweight
6,Male,148,17.0,7.76,Underweight
7,Male,127,11.1,6.88,Underweight
8,Female,100,11.1,11.1,Underweight
3,Female,95,11.3,12.52,Underweight
7,Female,128,10.1,6.16,Underweight
11,Male,116,12.9,9.59,Underweight
3,Male,100,11.5,11.5,Underweight
7,Female,139,13.7,7.09,Underweight
9,Female,101,10.4,10.2,Underweight
10,Male,127,12.9,8.0,Underweight
11,Female,110,12.2,10.08,Underweight
8,Male,142,12.6,6.25,Underweight
7,Male,98,10.5,10.93,Underweight
5,Male,106,11.4,10.15,Underweight
8,Male,134,10.9,6.07,Underweight
9,Female,113,10.4,8.14,Underweight
9,Male,149,12.3,5.54,Underweight
12,Female,139,10.9,5.64,Underweight
9,Male,122,14.0,9.41,Underweight
6,Female,112,10.4,8.29,Underweight
7,Female,145,10.4,4.95,Underweight
3,Female,140,15.1,7.7,Underweight
12,Male,120,12.7,8.82,Underweight
4,Male,130,10.9,6.45,Underweight
9,Female,120,11.1,7.71,Underweight
8,Female,128,14.3,8.73,Underweight
7,Female,99,10.6,10.82,Underweight
8,Female,97,10.9,11.58,Underweight
8,Male,147,14.4,6.66,Underweight
9,Male,115,10.7,8.09,Underweight
10,Female,145,12.2,5.8,Underweight
4,Male,142,13.2,6.55,Underweight
4,Male,115,12.7,9.6,Underweight
7,Female,143,11.7,5.72,Underweight
10,Female,137,13.1,6.98,Underweight
10,Female,142,13.4,6.65,Underweight
3,Female,146,16.4,7.69,Underweight
12,Female,149,17.7,7.97,Underweight
10,Female,107,12.4,10.83,Underweight
3,Female,123,13.5,8.92,Underweight
11,Female,107,12.7,11.09,Underweight
5,Male,109,12.2,10.27,Underweight
10,Male,98,10.5,10.93,Underweight
10,Female,120,10.4,7.22,Underweight
8,Female,101,11.7,11.47,Underweight
7,Male,103,11.7,11.03,Underweight
4,Female,107,12.7,11.09,Underweight
11,Female,110,12.6,10.41,Underweight
12,Male,137,10.7,5.7,Underweight
6,Male,96,11.2,12.15,Underweight
7,Female,124,14.3,9.3,Underweight
7,Female,111,12.7,10.31,Underweight
6,Male,110,12.9,10.66,Underweight
12,Female,149,11.1,5.0,Underweight
10,Female,119,12.1,8.54,Underweight
10,Male,121,13.4,9.15,Underweight
4,Female,132,15.4,8.84,Underweight
8,Female,138,13.7,7.19,Underweight
3,Male,126,10.5,6.61,Underweight
10,Female,131,12.4,7.23,Underweight
11,Female,141,16.8,8.45,Underweight
4,Male,113,12.2,9.55,Underweight
9,Male,111,12.0,9.74,Underweight
9,Male,135,15.1,8.29,Underweight
9,Female,110,12.9,10.66,Underweight
7,Female,96,10.8,11.72,Underweight
9,Male,124,12.3,8.0,Underweight
12,Female,142,10.3,5.11,Underweight
4,Male,141,10.4,5.23,Underweight
10,Male,97,10.7,11.37,Underweight
5,Male,133,14.2,8.03,Underweight
9,Female,113,13.3,10.42,Underweight
6,Male,108,11.1,9.52,Underweight
11,Male,124,13.9,9.04,Underweight
3,Male,99,11.0,11.22,Underweight
11,Female,147,13.1,6.06,Underweight
11,Female,100,11.5,11.5,Underweight
5,Female,149,15.3,6.89,Underweight
3,Female,99,10.4,10.61,Underweight
11,Male,95,10.9,12.08,Underweight
11,Female,98,11.0,11.45,Underweight
10,Male,115,10.8,8.17,Underweight
9,Female,149,13.3,5.99,Underweight
10,Male,143,10.0,4.89,Underweight
6,Female,142,13.9,6.89,Underweight
11,Female,118,13.7,9.84,Underweight
11,Female,141,14.6,7.34,Underweight
7,Female,148,11.4,5.2,Underweight
12,Female,103,10.9,10.27,Underweight
9,Male,130,15.4,9.11,Underweight
8,Female,97,11.4,12.12,Underweight
6,Male,112,10.4,8.29,Underweight
8,Female,130,11.8,6.98,Underweight
3,Female,130,10.1,5.98,Underweight
8,Female,111,12.1,9.82,Underweight
12,Male,130,11.0,6.51,Underweight
11,Male,108,11.5,9.86,Underweight
4,Male,133,13.7,7.74,Underweight
9,Female,149,15.0,6.76,Underweight
11,Female,130,12.1,7.16,Underweight
12,Male,139,12.6,6.52,Underweight
11,Female,137,11.3,6.02,Underweight
5,Male,124,12.4,8.06,Underweight
3,Male,96,11.5,12.48,Underweight
4,Female,102,10.9,10.48,Underweight
8,Female,126,13.4,8.44,Underweight
6,Female,127,11.2,6.94,Underweight
7,Female,118,11.3,8.12,Underweight
6,Male,116,10.2,7.58,Underweight
10,Female,113,11.8,9.24,Underweight
9,Female,130,11.9,7.04,Underweight
7,Female,100,10.1,10.1,Underweight
7,Male,147,12.6,5.83,Underweight
3,Female,129,14.7,8.83,Underweight
4,Male,108,10.7,9.17,Underweight
4,Male,123,10.7,7.07,Underweight
4,Female,132,13.1,7.52,Underweight
8,Female,122,13.1,8.8,Underweight
12,Female,128,12.1,7.39,Underweight
7,Male,116,11.6,8.62,Underweight
6,Female,117,13.3,9.72,Underweight
3,Female,142,13.8,6.84,Underweight
3,Female,122,13.4,9.0,Underweight
10,Female,136,13.3,7.19,Underweight
9,Female,140,12.6,6.43,Underweight
6,Male,145,25.2,11.99,Normal
11,Male,125,17.2,11.01,Normal
4,Male,126,19.7,12.41,Normal
9,Female,126,21.8,13.73,Normal
8,Male,114,17.4,13.39,Normal
11,Male,149,20.9,9.41,Normal
7,Male,133,18.6,10.52,Normal
4,Female,98,13.2,13.74,Normal
8,Female,102,14.2,13.65,Normal
4,Female,115,20.6,15.58,Normal
5,Male,115,19.9,15.05,Normal
11,Male,111,15.4,12.5,Normal
6,Male,103,15.1,14.23,Normal
5,Female,104,16.3,15.07,Normal
12,Male,109,15.1,12.71,Normal
11,Female,144,19.3,9.31,Normal
12,Female,106,17.8,15.84,Normal
3,Male,140,19.4,9.9,Normal
5,Male,127,22.4,13.89,Normal
8,Male,104,18.5,17.1,Normal
3,Male,110,14.6,12.07,Normal
5,Female,113,15.2,11.9,Normal
11,Male,146,23.1,10.84,Normal
11,Male,137,20.7,11.03,Normal
6,Male,128,19.2,11.72,Normal
3,Male,113,19.7,15.43,Normal
12,Male,140,21.3,10.87,Normal
12,Male,132,20.2,11.59,Normal
5,Female,109,14.2,11.95,Normal
4,Female,117,18.1,13.22,Normal
5,Female,112,19.7,15.7,Normal
12,Female,120,15.7,10.9,Normal
11,Female,103,14.5,13.67,Normal
10,Male,100,17.3,17.3,Normal
3,Female,147,24.4,11.29,Normal
8,Female,140,21.5,10.97,Normal
5,Female,137,20.0,10.66,Normal
9,Female,118,21.0,15.08,Normal
7,Female,134,22.8,12.7,Normal
8,Female,131,22.5,13.11,Normal
10,Male,143,20.4,9.98,Normal
4,Male,124,16.5,10.73,Normal
11,Female,144,19.1,9.21,Normal
9,Female,149,20.8,9.37,Normal
10,Female,132,23.3,13.37,Normal
12,Male,143,21.1,10.32,Normal
10,Female,99,15.2,15.51,Normal
12,Male,120,15.8,10.97,Normal
5,Female,148,24.2,11.05,Normal
11,Female,119,19.6,13.84,Normal
5,Male,133,23.9,13.51,Normal
6,Male,127,20.4,12.65,Normal
6,Female,110,17.2,14.21,Normal
8,Male,121,15.8,10.79,Normal
5,Female,122,19.0,12.77,Normal
6,Female,120,21.5,14.93,Normal
4,Female,130,22.1,13.08,Normal
7,Female,112,18.4,14.67,Normal
8,Female,115,20.7,15.65,Normal
9,Female,99,15.9,16.22,Normal
10,Female,148,24.5,11.19,Normal
8,Male,139,22.6,11.7,Normal
5,Female,124,21.8,14.18,Normal
10,Male,116,17.9,13.3,Normal
8,Female,114,16.3,12.54,Normal
8,Female,147,20.2,9.35,Normal
3,Female,97,16.1,17.11,Normal
6,Male,108,18.2,15.6,Normal
10,Female,132,17.6,10.1,Normal
7,Female,148,21.5,9.82,Normal
9,Female,118,15.4,11.06,Normal
5,Female,139,23.1,11.96,Normal
11,Female,112,16.4,13.07,Normal
11,Female,127,20.9,12.96,Normal
12,Female,126,16.5,10.39,Normal
7,Female,124,18.0,11.71,Normal
9,Female,149,20.4,9.19,Normal
5,Male,108,16.9,14.49,Normal
10,Female,131,19.9,11.6,Normal
8,Male,149,26.7,12.03,Normal
7,Male,95,16.4,18.17,Normal
8,Male,138,22.9,12.02,Normal
3,Male,148,23.4,10.68,Normal
8,Female,136,19.5,10.54,Normal
4,Female,139,19.0,9.83,Normal
11,Male,134,23.1,12.86,Normal
5,Male,108,17.4,14.92,Normal
3,Male,142,21.4,10.61,Normal
3,Female,105,15.9,14.42,Normal
7,Male,118,20.6,14.79,Normal
8,Male,101,16.3,15.98,Normal
12,Female,139,22.4,11.59,Normal
3,Male,146,20.8,9.76,Normal
4,Male,101,16.7,16.37,Normal
12,Male,125,16.6,10.62,Normal
8,Male,96,15.6,16.93,Normal
8,Female,132,22.2,12.74,Normal
9,Female,132,22.6,12.97,Normal
6,Female,101,15.1,14.8,Normal
6,Female,133,23.7,13.4,Normal
3,Female,96,14.0,15.19,Normal
5,Male,105,15.9,14.42,Normal
10,Male,146,22.3,10.46,Normal
7,Male,150,19.6,8.71,Normal
6,Female,104,15.5,14.33,Normal
6,Male,115,18.3,13.84,Normal
10,Male,144,25.7,12.39,Normal
5,Male,111,18.2,14.77,Normal
9,Male,118,18.9,13.57,Normal
6,Male,133,18.1,10.23,Normal
4,Male,134,22.3,12.42,Normal
3,Female,116,16.1,11.96,Normal
4,Female,111,19.1,15.5,Normal
4,Female,112,18.1,14.43,Normal
12,Female,106,17.6,15.66,Normal
11,Female,112,15.9,12.68,Normal
11,Male,97,13.3,14.14,Normal
11,Female,136,19.3,10.43,Normal
12,Male,121,19.1,13.05,Normal
6,Male,131,23.3,13.58,Normal
6,Male,129,20.9,12.56,Normal
7,Female,97,15.9,16.9,Normal
5,Female,122,21.0,14.11,Normal
10,Male,140,19.7,10.05,Normal
9,Female,98,16.8,17.49,Normal
7,Male,126,18.0,11.34,Normal
9,Male,130,18.4,10.89,Normal
9,Male,129,17.2,10.34,Normal
11,Female,96,15.5,16.82,Normal
5,Female,99,15.2,15.51,Normal
9,Male,111,19.3,15.66,Normal
12,Male,138,22.4,11.76,Normal
3,Female,110,17.5,14.46,Normal
7,Male,112,17.4,13.87,Normal
10,Male,115,16.6,12.55,Normal
8,Male,121,16.8,11.47,Normal
10,Female,128,21.6,13.18,Normal
7,Female,112,18.7,14.91,Normal
6,Male,104,16.7,15.44,Normal
6,Female,112,16.1,12.83,Normal
3,Male,148,23.7,10.82,Normal
4,Male,130,22.7,13.43,Normal
7,Male,140,21.7,11.07,Normal
12,Female,96,14.9,16.17,Normal
6,Female,96,16.4,17.8,Normal
6,Female,130,18.5,10.95,Normal
9,Female,140,23.1,11.79,Normal
9,Male,122,16.1,10.82,Normal
6,Female,148,26.3,12.01,Normal
6,Male,141,23.4,11.77,Normal
9,Male,136,19.6,10.6,Normal
8,Male,104,14.1,13.04,Normal
6,Female,102,18.0,17.3,Normal
12,Female,121,20.9,14.27,Normal
9,Female,107,16.3,14.24,Normal
11,Male,147,26.1,12.08,Normal
10,Female,114,19.2,14.77,Normal
6,Female,113,18.2,14.25,Normal
8,Male,98,17.6,18.33,Normal
7,Male,109,17.0,14.31,Normal
7,Male,101,16.5,16.17,Normal
11,Male,133,20.8,11.76,Normal
6,Male,98,15.1,15.72,Normal
9,Male,114,18.9,14.54,Normal
11,Male,132,19.8,11.36,Normal
5,Male,116,17.0,12.63,Normal
11,Female,134,21.1,11.75,Normal
8,Male,116,17.7,13.15,Normal
5,Male,109,19.4,16.33,Normal
10,Female,123,21.6,14.28,Normal
5,Female,96,16.1,17.47,Normal
8,Male,144,23.8,11.48,Normal
10,Male,145,19.6,9.32,Normal
10,Female,125,18.3,11.71,Normal
11,Female,132,17.4,9.99,Normal
7,Male,121,17.7,12.09,Normal
10,Female,147,24.8,11.48,Normal
8,Male,124,18.1,11.77,Normal
10,Female,146,21.3,9.99,Normal
6,Female,141,25.4,12.78,Normal
8,Male,146,20.0,9.38,Normal
10,Male,145,23.8,11.32,Normal
4,Female,106,14.9,13.26,Normal
5,Female,138,24.0,12.6,Normal
6,Male,102,17.5,16.82,Normal
9,Male,127,22.3,13.83,Normal
10,Female,120,18.7,12.99,Normal
6,Male,103,16.4,15.46,Normal
5,Male,101,13.2,12.94,Normal
10,Male,137,20.6,10.98,Normal
8,Female,98,14.4,14.99,Normal
8,Male,107,14.8,12.93,Normal
3,Male,129,18.9,11.36,Normal
4,Female,97,16.5,17.54,Normal
3,Male,121,20.2,13.8,Normal
3,Male,139,21.9,11.33,Normal
6,Female,117,16.2,11.83,Normal
6,Male,116,17.8,13.23,Normal
10,Male,119,19.6,13.84,Normal
4,Female,98,17.5,18.22,Normal
4,Female,139,22.0,11.39,Normal
11,Male,101,14.2,13.92,Normal
4,Female,115,19.7,14.9,Normal
5,Female,140,23.3,11.89,Normal
10,Male,136,22.0,11.89,Normal
7,Male,126,22.4,14.11,Normal
6,Female,128,17.4,10.62,Normal
6,Male,102,16.1,15.47,Normal
10,Male,109,18.2,15.32,Normal
5,Male,115,15.8,11.95,Normal
3,Female,111,19.1,15.5,Normal
11,Male,125,16.6,10.62,Normal
9,Male,117,18.7,13.66,Normal
12,Male,126,21.6,13.61,Normal
12,Female,103,16.0,15.08,Normal
11,Female,115,16.6,12.55,Normal
11,Male,132,23.0,13.2,Normal
3,Female,148,21.6,9.86,Normal
10,Male,121,16.1,11.0,Normal
4,Female,112,16.5,13.15,Normal
3,Female,103,17.2,16.21,Normal
5,Male,145,19.1,9.08,Normal
9,Male,118,16.5,11.85,Normal
4,Female,114,18.6,14.31,Normal
5,Female,130,19.9,11.78,Normal
6,Female,125,21.5,13.76,Normal
6,Male,95,14.0,15.51,Normal
3,Female,123,17.8,11.77,Normal
10,Female,105,18.6,16.87,Normal
7,Female,101,17.2,16.86,Normal
11,Male,108,17.0,14.57,Normal
5,Male,121,20.4,13.93,Normal
8,Female,135,21.8,11.96,Normal
9,Female,112,19.1,15.23,Normal
3,Male,146,20.3,9.52,Normal
5,Female,150,20.7,9.2,Normal
8,Female,145,24.0,11.41,Normal
4,Male,104,16.5,15.26,Normal
3,Male,101,17.9,17.55,Normal
9,Male,133,21.4,12.1,Normal
8,Male,116,16.7,12.41,Normal
7,Male,110,16.2,13.39,Normal
7,Female,116,18.6,13.82,Normal
8,Female,126,19.6,12.35,Normal
10,Female,123,20.9,13.81,Normal
3,Female,141,23.0,11.57,Normal
10,Female,106,14.7,13.08,Normal
9,Female,118,16.5,11.85,Normal
12,Male,115,17.3,13.08,Normal
8,Male,102,17.3,16.63,Normal
6,Male,137,22.8,12.15,Normal
5,Male,150,19.8,8.8,Normal
8,Male,121,19.7,13.46,Normal
7,Male,104,13.8,12.76,Normal
8,Male,113,17.3,13.55,Normal
9,Male,142,22.0,10.91,Normal
11,Female,113,19.6,15.35,Normal
6,Male,136,22.7,12.27,Normal
12,Female,125,17.9,11.46,Normal
3,Male,108,15.3,13.12,Normal
3,Female,102,13.9,13.36,Normal
5,Female,111,16.5,13.39,Normal
7,Male,126,18.3,11.53,Normal
8,Female,149,23.4,10.54,Normal
12,Female,139,23.3,12.06,Normal
4,Male,98,16.3,16.97,Normal
6,Female,110,16.3,13.47,Normal
10,Female,109,16.2,13.64,Normal
3,Female,124,21.0,13.66,Normal
5,Male,131,18.5,10.78,Normal
8,Female,114,20.4,15.7,Normal
8,Female,105,18.4,16.69,Normal
6,Male,106,18.6,16.55,Normal
7,Male,110,15.7,12.98,Normal
11,Female,120,20.4,14.17,Normal
5,Female,98,14.1,14.68,Normal
10,Male,149,20.5,9.23,Normal
9,Female,106,18.3,16.29,Normal
10,Female,108,16.6,14.23,Normal
11,Male,112,15.1,12.04,Normal
5,Female,110,18.7,15.45,Normal
9,Female,103,15.8,14.89,Normal
3,Female,121,17.9,12.23,Normal
8,Female,101,16.0,15.68,Normal
3,Male,132,18.9,10.85,Normal
10,Male,134,18.2,10.14,Normal
10,Female,148,20.4,9.31,Normal
10,Female,136,22.6,12.22,Normal
9,Male,144,24.8,11.96,Normal
11,Male,105,17.6,15.96,Normal
4,Male,108,17.2,14.75,Normal
3,Female,105,14.5,13.15,Normal
4,Female,147,19.6,9.07,Normal
11,Female,119,20.5,14.48,Normal
12,Female,117,18.2,13.3,Normal
8,Female,138,19.9,10.45,Normal
9,Male,128,19.8,12.08,Normal
12,Female,135,19.6,10.75,Normal
4,Male,108,16.7,14.32,Normal
9,Male,108,15.8,13.55,Normal
6,Male,99,13.8,14.08,Normal
10,Female,131,19.8,11.54,Normal
11,Male,103,17.4,16.4,Normal
4,Male,112,16.0,12.76,Normal
5,Female,97,17.2,18.28,Normal
4,Male,108,16.2,13.89,Normal
9,Female,133,19.9,11.25,Normal
9,Female,101,17.7,17.35,Normal
8,Male,111,15.1,12.26,Normal
11,Female,119,21.4,15.11,Normal
4,Female,122,17.4,11.69,Normal
7,Male,121,19.5,13.32,Normal
7,Female,130,22.6,13.37,Normal
5,Female,124,18.5,12.03,Normal
11,Female,105,16.6,15.06,Normal
4,Male,113,18.5,14.49,Normal
6,Male,128,19.1,11.66,Normal
5,Female,107,13.9,12.14,Normal
5,Male,95,16.0,17.73,Normal
11,Male,110,19.5,16.12,Normal
6,Female,95,17.0,18.84,Normal
9,Male,145,23.2,11.03,Normal
5,Female,150,25.6,11.38,Normal
4,Male,149,25.7,11.58,Normal
7,Female,134,21.3,11.86,Normal
12,Male,106,18.7,16.64,Normal
9,Female,103,16.2,15.27,Normal
8,Female,150,22.3,9.91,Normal
5,Male,129,20.0,12.02,Normal
9,Female,148,23.7,10.82,Normal
9,Male,109,18.4,15.49,Normal
7,Female,95,14.0,15.51,Normal
6,Male,136,19.7,10.65,Normal
12,Male,150,24.5,10.89,Normal
10,Male,124,24.2,15.74,Overweight
5,Male,125,27.6,17.66,Overweight
3,Female,135,33.8,18.55,Overweight
5,Male,102,21.0,20.18,Overweight
7,Female,137,26.8,14.28,Overweight
7,Male,98,26.5,27.59,Overweight
9,Female,134,28.7,15.98,Overweight
4,Female,139,36.9,19.1,Overweight
5,Male,145,40.7,19.36,Overweight
6,Male,112,23.8,18.97,Overweight
3,Female,115,27.6,20.87,Overweight
11,Male,135,32.4,17.78,Overweight
9,Female,122,23.9,16.06,Overweight
10,Female,99,19.2,19.59,Overweight
6,Female,139,28.9,14.96,Overweight
10,Male,113,27.4,21.46,Overweight
8,Female,105,27.8,25.22,Overweight
9,Female,108,30.8,26.41,Overweight
4,Female,95,19.5,21.61,Overweight
5,Female,137,29.2,15.56,Overweight
6,Female,116,31.9,23.71,Overweight
10,Female,109,22.2,18.69,Overweight
7,Female,104,22.7,20.99,Overweight
7,Male,144,32.0,15.43,Overweight
3,Male,132,34.2,19.63,Overweight
9,Male,110,30.0,24.79,Overweight
6,Male,100,25.9,25.9,Overweight
11,Male,114,34.2,26.32,Overweight
12,Male,99,22.9,23.36,Overweight
8,Male,98,20.9,21.76,Overweight
4,Female,145,38.4,18.26,Overweight
7,Female,115,25.2,19.05,Overweight
12,Female,149,40.3,18.15,Overweight
10,Female,140,40.0,20.41,Overweight
9,Male,136,37.0,20.0,Overweight
12,Male,108,23.4,20.06,Overweight
3,Male,128,29.9,18.25,Overweight
5,Male,134,36.9,20.55,Overweight
8,Male,143,33.1,16.19,Overweight
9,Male,148,39.2,17.9,Overweight
6,Female,126,28.8,18.14,Overweight
9,Female,110,32.3,26.69,Overweight
9,Male,101,19.5,19.12,Overweight
10,Male,149,30.8,13.87,Overweight
12,Female,130,37.6,22.25,Overweight
4,Male,148,34.2,15.61,Overweight
